This is the data file used for calibration of the shaker
Frequency	Amplitude	UpdateRate	Duration
(Hz)	(Volts)	(Hz)	(Sec)
10.0000	0.10000	10000	1.0000
/ 199	0	10000	1
20	0.1	10000	1
199	0	10000	1
20	0.2	10000	1
199	0	10000	1
20	0.3	10000	1
199	0	10000	1
20	0.4	10000	1
199	0	10000	1
20	0.5	10000	1
199	0	10000	1
20	0.6	10000	1
199	0	10000	1
20	0.7	10000	1
199	0	10000	1
20	0.8	10000	1
199	0	10000	1
20	0.9	10000	1
199	0	10000	1
20	1	10000	1
199	0	10000	1
20	1.1	10000	1
199	0	10000	1
20	1.2	10000	1
199	0	10000	1
20	1.3	10000	1
199	0	10000	1
20	1.4	10000	1
199	0	10000	1
20	1.5	10000	1
199	0	10000	1
20	1.6	10000	1
199	0	10000	1
20	1.7	10000	1
199	0	10000	1
20	1.8	10000	1
199	0	10000	1
20	1.9	10000	1
199	0	10000	1
20	2	10000	1
199	0	10000	1
33	0.1	10000	1
199	0	10000	1
33	0.2	10000	1
199	0	10000	1
33	0.3	10000	1
199	0	10000	1
33	0.4	10000	1
199	0	10000	1
33	0.5	10000	1
199	0	10000	1
33	0.6	10000	1
199	0	10000	1
33	0.7	10000	1
199	0	10000	1
33	0.8	10000	1
199	0	10000	1
33	0.9	10000	1
199	0	10000	1
33	1	10000	1
199	0	10000	1
33	1.1	10000	1
199	0	10000	1
33	1.2	10000	1
199	0	10000	1
33	1.3	10000	1
199	0	10000	1
33	1.4	10000	1
199	0	10000	1
33	1.5	10000	1
199	0	10000	1
33	1.6	10000	1
199	0	10000	1
33	1.7	10000	1
199	0	10000	1
33	1.8	10000	1
199	0	10000	1
33	1.9	10000	1
199	0	10000	1
33	2	10000	1
199	0	10000	1
47	0.1	10000	1
199	0	10000	1
47	0.2	10000	1
199	0	10000	1
47	0.3	10000	1
199	0	10000	1
47	0.4	10000	1
199	0	10000	1
47	0.5	10000	1
199	0	10000	1
47	0.6	10000	1
199	0	10000	1
47	0.7	10000	1
199	0	10000	1
47	0.8	10000	1
199	0	10000	1
47	0.9	10000	1
199	0	10000	1
47	1	10000	1
199	0	10000	1
47	1.1	10000	1
199	0	10000	1
47	1.2	10000	1
199	0	10000	1
47	1.3	10000	1
199	0	10000	1
47	1.4	10000	1
199	0	10000	1
47	1.5	10000	1
199	0	10000	1
47	1.6	10000	1
199	0	10000	1
47	1.7	10000	1
199	0	10000	1
47	1.8	10000	1
199	0	10000	1
47	1.9	10000	1
199	0	10000	1
47	2	10000	1
199	0	10000	1
63	0.1	10000	1
199	0	10000	1
63	0.2	10000	1
199	0	10000	1
63	0.3	10000	1
199	0	10000	1
63	0.4	10000	1
199	0	10000	1
63	0.5	10000	1
199	0	10000	1
63	0.6	10000	1
199	0	10000	1
63	0.7	10000	1
199	0	10000	1
63	0.8	10000	1
199	0	10000	1
63	0.9	10000	1
199	0	10000	1
63	1	10000	1
199	0	10000	1
63	1.1	10000	1
199	0	10000	1
63	1.2	10000	1
199	0	10000	1
63	1.3	10000	1
199	0	10000	1
63	1.4	10000	1
199	0	10000	1
63	1.5	10000	1
199	0	10000	1
63	1.6	10000	1
199	0	10000	1
63	1.7	10000	1
199	0	10000	1
63	1.8	10000	1
199	0	10000	1
63	1.9	10000	1
199	0	10000	1
63	2	10000	1
199	0	10000	1
82	0.1	10000	1
199	0	10000	1
82	0.2	10000	1
199	0	10000	1
82	0.3	10000	1
199	0	10000	1
82	0.4	10000	1
199	0	10000	1
82	0.5	10000	1
199	0	10000	1
82	0.6	10000	1
199	0	10000	1
82	0.7	10000	1
199	0	10000	1
82	0.8	10000	1
199	0	10000	1
82	0.9	10000	1
199	0	10000	1
82	1	10000	1
199	0	10000	1
82	1.1	10000	1
199	0	10000	1
82	1.2	10000	1
199	0	10000	1
82	1.3	10000	1
199	0	10000	1
82	1.4	10000	1
199	0	10000	1
82	1.5	10000	1
199	0	10000	1
82	1.6	10000	1
199	0	10000	1
82	1.7	10000	1
199	0	10000	1
82	1.8	10000	1
199	0	10000	1
82	1.9	10000	1
199	0	10000	1
82	2	10000	1
199	0	10000	1
104	0.1	10000	1
199	0	10000	1
104	0.2	10000	1
199	0	10000	1
104	0.3	10000	1
199	0	10000	1
104	0.4	10000	1
199	0	10000	1
104	0.5	10000	1
199	0	10000	1
104	0.6	10000	1
199	0	10000	1
104	0.7	10000	1
199	0	10000	1
104	0.8	10000	1
199	0	10000	1
104	0.9	10000	1
199	0	10000	1
104	1	10000	1
199	0	10000	1
104	1.1	10000	1
199	0	10000	1
104	1.2	10000	1
199	0	10000	1
104	1.3	10000	1
199	0	10000	1
104	1.4	10000	1
199	0	10000	1
104	1.5	10000	1
199	0	10000	1
104	1.6	10000	1
199	0	10000	1
104	1.7	10000	1
199	0	10000	1
104	1.8	10000	1
199	0	10000	1
104	1.9	10000	1
199	0	10000	1
104	2	10000	1
199	0	10000	1
131	0.1	10000	1
199	0	10000	1
131	0.2	10000	1
199	0	10000	1
131	0.3	10000	1
199	0	10000	1
131	0.4	10000	1
199	0	10000	1
131	0.5	10000	1
199	0	10000	1
131	0.6	10000	1
199	0	10000	1
131	0.7	10000	1
199	0	10000	1
131	0.8	10000	1
199	0	10000	1
131	0.9	10000	1
199	0	10000	1
131	1	10000	1
199	0	10000	1
131	1.1	10000	1
199	0	10000	1
131	1.2	10000	1
199	0	10000	1
131	1.3	10000	1
199	0	10000	1
131	1.4	10000	1
199	0	10000	1
131	1.5	10000	1
199	0	10000	1
131	1.6	10000	1
199	0	10000	1
131	1.7	10000	1
199	0	10000	1
131	1.8	10000	1
199	0	10000	1
131	1.9	10000	1
199	0	10000	1
131	2	10000	1
199	0	10000	1
166	0.1	10000	1
199	0	10000	1
166	0.2	10000	1
199	0	10000	1
166	0.3	10000	1
199	0	10000	1
166	0.4	10000	1
