This is the data file used for calibration of the shaker
Frequency	Amplitude	UpdateRate	Duration
(Hz)	(Volts)	(Hz)	(Sec)
10.0000	0.10000	10000	1.0000
199	0	10000	1
10	0	10000	1
199	0	10000	1
10	0.3	10000	1
199	0	10000	1
10	0.6	10000	1
199	0	10000	1
10	0.9	10000	1
199	0	10000	1
10	1.2	10000	1
199	0	10000	1
10	1.5	10000	1
199	0	10000	1
10	1.8	10000	1
199	0	10000	1
10	2.1	10000	1
199	0	10000	1
10	2.4	10000	1
199	0	10000	1
10	2.7	10000	1
199	0	10000	1
10	3.0	10000	1
199	0	10000	1
15	0	10000	1
199	0	10000	1
15	0.1	10000	1
199	0	10000	1
15	0.2	10000	1
199	0	10000	1
15	0.3	10000	1
199	0	10000	1
15	0.4	10000	1
199	0	10000	1
15	0.5	10000	1
199	0	10000	1
15	0.6	10000	1
199	0	10000	1
15	0.7	10000	1
199	0	10000	1
15	0.8	10000	1
199	0	10000	1
15	0.9	10000	1
199	0	10000	1
15	1.0	10000	1
199	0	10000	1
15	1.1	10000	1
199	0	10000	1
15	1.2	10000	1
199	0	10000	1
15	1.3	10000	1
199	0	10000	1
15	1.4	10000	1
199	0	10000	1
15	1.5	10000	1
199	0	10000	1
15	1.6	10000	1
199	0	10000	1
15	1.7	10000	1
199	0	10000	1
15	1.8	10000	1
199	0	10000	1
15	1.9	10000	1
199	0	10000	1
15	2.0	10000	1
199	0	10000	1
25	0	10000	1
199	0	10000	1
25	0.05	10000	1
199	0	10000	1
25	0.1	10000	1
199	0	10000	1
25	0.15	10000	1
199	0	10000	1
25	0.2	10000	1
199	0	10000	1
25	0.25	10000	1
199	0	10000	1
25	0.3	10000	1
199	0	10000	1
25	0.35	10000	1
199	0	10000	1
25	0.4	10000	1
199	0	10000	1
25	0.45	10000	1
199	0	10000	1
25	0.5	10000	1
199	0	10000	1
25	0.55	10000	1
199	0	10000	1
25	0.6	10000	1
199	0	10000	1
25	0.65	10000	1
199	0	10000	1
25	0.7	10000	1
199	0	10000	1
25	0.75	10000	1
199	0	10000	1
25	0.8	10000	1
199	0	10000	1
25	0.85	10000	1
199	0	10000	1
25	0.9	10000	1
199	0	10000	1
35	0	10000	1
199	0	10000	1
35	0.02	10000	1
199	0	10000	1
35	0.04	10000	1
199	0	10000	1
35	0.06	10000	1
199	0	10000	1
35	0.08	10000	1
199	0	10000	1
35	0.1	10000	1
199	0	10000	1
35	0.12	10000	1
199	0	10000	1
35	0.14	10000	1
199	0	10000	1
35	0.16	10000	1
199	0	10000	1
35	0.18	10000	1
199	0	10000	1
35	0.20	10000	1
199	0	10000	1
35	0.22	10000	1
199	0	10000	1
35	0.24	10000	1
199	0	10000	1
35	0.26	10000	1
199	0	10000	1
35	0.28	10000	1
199	0	10000	1
35	0.3	10000	1
199	0	10000	1
35	0.32	10000	1
199	0	10000	1
35	0.34	10000	1
199	0	10000	1
35	0.36	10000	1
199	0	10000	1
35	0.38	10000	1
199	0	10000	1
35	0.40	10000	1
199	0	10000	1
50	0	10000	1
199	0	10000	1
50	0.02	10000	1
199	0	10000	1
50	0.04	10000	1
199	0	10000	1
50	0.06	10000	1
199	0	10000	1
50	0.08	10000	1
199	0	10000	1
50	0.1	10000	1
199	0	10000	1
50	0.12	10000	1
199	0	10000	1
50	0.14	10000	1
199	0	10000	1
50	0.16	10000	1
199	0	10000	1
50	0.18	10000	1
199	0	10000	1
50	0.20	10000	1
199	0	10000	1
50	0.22	10000	1
199	0	10000	1
50	0.24	10000	1
199	0	10000	1
50	0.26	10000	1
199	0	10000	1
50	0.28	10000	1
199	0	10000	1
50	0.3	10000	1
199	0	10000	1
70	0	10000	1
199	0	10000	1
70	0.015	10000	1
199	0	10000	1
70	0.03	10000	1
199	0	10000	1
70	0.045	10000	1
199	0	10000	1
70	0.06	10000	1
199	0	10000	1
70	0.075	10000	1
199	0	10000	1
70	0.09	10000	1
199	0	10000	1
70	0.105	10000	1
199	0	10000	1
70	0.12	10000	1
199	0	10000	1
70	0.135	10000	1
199	0	10000	1
70	0.15	10000	1
199	0	10000	1
70	0.165	10000	1
199	0	10000	1
70	0.18	10000	1
199	0	10000	1
70	0.195	10000	1
199	0	10000	1
70	0.21	10000	1
199	0	10000	1
100	0	10000	1
199	0	10000	1
100	0.015	10000	1
199	0	10000	1
100	0.03	10000	1
199	0	10000	1
100	0.045	10000	1
199	0	10000	1
100	0.06	10000	1
199	0	10000	1
100	0.075	10000	1
199	0	10000	1
100	0.09	10000	1
199	0	10000	1
100	0.105	10000	1
199	0	10000	1
100	0.12	10000	1
199	0	10000	1
100	0.135	10000	1
199	0	10000	1
100	0.15	10000	1
199	0	10000	1
100	0.165	10000	1
199	0	10000	1
100	0.18	10000	1
199	0	10000	1
100	0.195	10000	1
199	0	10000	1
100	0.21	10000	1
199	0	10000	1
135	0	10000	1
199	0	10000	1
135	0.015	10000	1
199	0	10000	1
135	0.03	10000	1
199	0	10000	1
135	0.045	10000	1
199	0	10000	1
135	0.06	10000	1
199	0	10000	1
135	0.075	10000	1
199	0	10000	1
135	0.09	10000	1
199	0	10000	1
135	0.105	10000	1
199	0	10000	1
135	0.12	10000	1
199	0	10000	1
135	0.135	10000	1
199	0	10000	1
135	0.15	10000	1
199	0	10000	1
135	0.165	10000	1
199	0	10000	1
135	0.18	10000	1
199	0	10000	1
135	0.195	10000	1
199	0	10000	1
135	0.21	10000	1

